page_content,page,source,author,theme
"Before the  
FEDERAL COMMUNICATIONS COMMISSION 
Washington, D.C. 20544 
 
 
In the Matter of  
 Advancing Understanding of Non- Federal 
Spectrum Usage  ) 
) 
) 
) 
) 
  
 WT Docket No. 23- 232 
    
REPLY COMMENTS  OF 
NCTA – THE INTERNET & TELEVISION ASSOCIATION  
       
    
 
Paul Margie  
Jason Neal  
Amy C. Robinson  
HWG LLP  
1919 M Street NW  
8th Floor  
Washington, DC  20036 (202) 730- 1300  
 Counsel for NCTA  
 Rick Chessen  
Becky Tangren  
Traci Biswese  
NCTA – The Internet & Television Association  
25 Massachusetts Avenue NW  
Suite 100 Washington, DC  20001 (202) 222- 2459  
  
 
   
November 2, 2023",0,NCTA NSF NOI - Reply Comments.pdf,NCTA – THE INTERNET & TELEVISION ASSOCIATION,Advancing Understanding of Non-Federal Spectrum Usage
"TABLE OF CONTENTS  
 
INTRODUCTION AND SUMMARY ........................................................................................... 1 
I. THE RECORD SUPPORTS MEASURING PUBLIC UTILITY RATHER THAN BAND OCCUPANCY OR RECEIVED POWER.  .............................................................1 
II. THE COMMISSION’S UNLICENSED AND SHARED- LICENSED 
FRAMEWORKS INCENTIVIZE HIGH UTILIZATION AND EFFICIENCY.  ...............4 
A. The Commission Should Include Exclusively Licensed Bands in Measurement Efforts.  ...............................................................................................4 
B. Unlicensed and Licensed -Shared Bands Have Strong Efficiency 
Incentives.  ................................................................................................................5 
CONCLUSION  ............................................................................................................................... 9",1,NCTA NSF NOI - Reply Comments.pdf,NCTA – THE INTERNET & TELEVISION ASSOCIATION,Advancing Understanding of Non-Federal Spectrum Usage
"1 INTRODUCTION AND SUMMARY  
NCTA – The Internet & Television Association ( “NCTA” )1 hereby submits these reply 
comments in response to the Federal Communications Commission’s ( “Commission ”) recent 
Notice of Inquiry (“ NOI”) seeking to gain greater insight into non- Federal spectrum use.2  The 
record in this proceeding strongly supports the Commission’s focus on improving access to 
accurate and reliable data on spectrum use and confirms that  a one-size-fits-all approach will not 
achieve this goal .  Commenters generally agree that the Commission should design measurement 
efforts to serve a well -articulated goal and consider the characteristics of the particular band 
under study.  The response to the NOI  also demonstrates that the Commission should analyze a 
band’s overall public utility and should not tr eat received power  or channel occupancy  as a proxy 
for utility .  Importantly, however, suggestions that the Commission should not study spectrum 
use in licensed -exclusive bands and that unlicensed and shared -use bands lack incentives to 
promote spectral efficiency  are incorrect .  
I. THE RECORD SUPPORTS MEASURING  PUBLIC UTILITY RATHER THAN 
BAND OCCUPANCY OR RECEIVED POWER.  
Commenters demonstrate that f ocusing on one rigid metric as a proxy for utility, such as 
band occupancy or received power, risks producing an inaccurate assessment of a  band’s 
utilization  and public utility.  In particular , several commenters note that measuring  channel 
 
1  NCTA is the principal trade association of the cable television industry in the United States, 
which is the leading provider of residential broadband service to U.S. households. Its members include owners and operators of cable television systems serving more than 80 percent of the nation’s cable television customers, as well as more than 200 cable program networks. Cable service providers have invested more than $300 billion over the last two decades to deploy and continually upgrade networks and other infrastructure —including 
licensed mobile wireless and some of the nation’s largest Wi -Fi- networks.  
2  Advancing Understanding of Non- Federal Spectrum Usage , Notice of Inquiry, FCC  23-63, 
WT Docket No.  23-232 (rel. Aug. 4, 2023) (“ NOI”).",2,NCTA NSF NOI - Reply Comments.pdf,NCTA – THE INTERNET & TELEVISION ASSOCIATION,Advancing Understanding of Non-Federal Spectrum Usage
"2 occupancy does not accurately capture spectrum utilization.3  For example, AT&T explains that 
channel occupancy inaccurately measures actual utility  and points to the example of “a radio 
transmitter broadcasting a signal that is not received by any users.”4  The radio transmitter would 
register “ use” based on channel occupancy even though it would not actually provide any “real 
use” or public value.5  Professors Randall Berry, Thomas Hazlett, and Michael Honig similarly 
underscore, “ [s]pectrum occupancy statistics do not map value generation.”6 
Just as the goal of measuring channel occupancy would not reliably capture public  utility, 
neither would the tactic of measuring  received power.  As AT&T explain s, “[s]ignal strength 
alone  . . . fails to adequately capture spectrum usage—for some radio applications and 
deployment scenarios, the use of tall towers and high- power transmitters is less efficient than a 
distributed network of shorter antenna height operations at a lower power.”7  Wi-Fi is a powerful 
illustration of  this point.  As NCTA highlighted in its initial comments , low power levels, low 
activity factors, and predominantly indoor operation make Wi -Fi a particularly spectrally 
efficient technology.8  Therefore, even though Wi -Fi is a critical part  of the modern digital 
economy, a measurement approach that  only factors in received power at outdoor listening points 
 
3  See, e.g., Comments of AT&T Servs ., Inc . at 2 , WT Docket No. 23- 232 (filed  Oct. 3, 2023)  
(“Comments of AT&T ”); Comments of AICC at 2 , WT Docket No. 23- 232 (filed Oct. 2, 
2023)  (“Comments of AICC ”); see also Comments of the Nat ’l Acad. Scie nces’ Comm. on 
Radio Frequencies  at 7, WT Docket No. 23- 232 (filed Oct.  2, 2023).  
4  Comments of AT&T at 2.   
5  Id. 
6  Comments of Professors Randall Berry, Thomas Hazlett, and Michael Honig at 4, WT 
Docket No. 23- 232 (filed Oct. 3, 2023) . 
7  Comments of AT&T  at 2.  
8  Comments  of NCTA  – The Internet & Television Ass’n  at 4-7, WT Docket No. 23- 232 (filed 
Oct. 3, 2023) ( “Comments of NCTA ”).",3,NCTA NSF NOI - Reply Comments.pdf,NCTA – THE INTERNET & TELEVISION ASSOCIATION,Advancing Understanding of Non-Federal Spectrum Usage
"3 could register substantially less “use” of an unlicensed band than is actually the case.  Such a 
crude metric would fail to capture Wi -Fi’s immense social utility.  
NCTA recommends that the Commission use this proceeding to establish a set of 
measurement principles  to guide it in designing measurement approaches in future individual 
proceedings  rather than adopting a one -size- fits-all approach .  Specifically , as described more 
fully in NCTA’s  initial comments, the Commission should adopt three principles : (1) any 
measurement approach should be tailored to the Commission’s intended use of the data; (2) any 
analytic approach employed by the Commission should be neutral and avoid over - or 
undervaluing a particular service or technology; and (3)  usage measurement should not become a 
tool for blocking Commission action.9  Establishing these overarching principles will ensure that 
any assessment of a particular band will avoid being skewed by unreliable metrics that may be part of a one -size-fits-all measurement approach, such as band occupancy or received power .  
There is abundant agreement in the record that a one -size- fits-all approach is not possible,
10 and 
other commenters similarly suggest adopting guiding principles .11 
 
9  Id. at 2.  
10  See, e.g., Comments of AICC at 1 (“T he Commission must  . . . recognize that there cannot be 
a one -size-fits-all approach to measuring spectrum usage.”); Comments of HII Mission Tech. 
Corp. at 17, WT Docket No. 23- 232 (filed Oct. 3, 2023) (“Comments of HII”) (“[I]t's vital to 
grasp that there ’s no universal solution. Different methods are tailored for different 
purposes.”); Comments of Aerospace and Flight Test Radio Coordinating Couns., Inc. at 15, 
WT Docket No. 23- 232 (filed Oct. 3, 2023); Comments of Enter. Wireless All. at 2, WT 
Docket No. 23- 232 (filed Oct. 3, 2023); Comments of GPS Innovation All. at 3- 4, WT 
Docket No. 23- 232 (filed Oct. 3, 2023); Comments of The Cnty. L.A., Cal. at 3, WT Docket 
No. 23- 232 (filed Oct. 3, 2023); Comments of The Nat’l Public Safety Telecomm. Couns. at 
4, WT Docket No. 23- 232 (filed Oct. 3, 2023); Comments of The Satellite Indus. Ass’n at 2-
3, WT Docket No. 23- 232 (filed Oct. 3, 2023); Comments of Verizon a t 5, WT Docket No. 
23-232 (filed Oct. 3, 2023); Comments of WISPA – Wireless without Boundaries at 5, WT 
Docket No. 23- 232 (filed Oct. 3, 2023).  
11  See, e.g., Comments of HII at 28 (“Introducing non- binding guidance, either through a Policy 
Statement or data specifications, represents a commendable stride in nurturing effective",4,NCTA NSF NOI - Reply Comments.pdf,NCTA – THE INTERNET & TELEVISION ASSOCIATION,Advancing Understanding of Non-Federal Spectrum Usage
"4 II. THE COMMISSION’S  UNLICENSED AND SHARED- LICENSED 
FRAMEWORKS INCENTIVIZE HIGH UTILIZATION AND EFFICIENCY.  
The Commission’s  measurement policies should be technology agnostic , with a design 
that does not advantage any one technology, network type , or spectrum use framework .12  CTIA, 
however, asks the Commission to not  measure exclusively licensed bands based on a claim that 
exclusive licensing will automatically produce full and efficient use of a band even without 
Commission oversight or measurement.13  Instead, CTIA recommends  that the Commission 
focus measurement on unlicensed and shared- licensed bands because it asserts that these 
spectrum -use mechanisms do not incentivize efficient use.14  Both assertions are false.  
A. The Commission Should Include Exclusively Licensed Bands in 
Measurement Efforts . 
The Commission should reject CTIA’s request that Commission data -gathering efforts 
skip exclusively licensed bands.  CTIA asserts that exclusive licenses automatically produce full 
utilization, so no scrutiny of these operations is required.15  This is incorrect  on both fronts .  
Exclusive licenses produce high barriers to entry and the opportunity for companies to prevent 
their rivals from accessing spectrum to undermine competition , both of which result in less 
efficiency .   
 
spectrum management. This form of guidance serves as a compass, delineating best practices 
and offering recommended data definitions, structure, and formatting standards. It lays the foundation for a consistent and efficient evaluation of spectrum usage.”) , Comments of 
AT&T at 3 (“[T]he concept of ‘Spectrum Efficiency’ must be defined by the allocation goals established by the Commission for a band in the first instance.”).  
12  See Comments of NCTA at 5 -7. 
13  Comments of CTIA at 2, WT Docket No. 23- 232 (filed Oct. 3, 2023) (“Comments of 
CTIA”).  
14  Id. at 3.  
15  Id. at 3-4.",5,NCTA NSF NOI - Reply Comments.pdf,NCTA – THE INTERNET & TELEVISION ASSOCIATION,Advancing Understanding of Non-Federal Spectrum Usage
"5 CTIA’s claim that exclusively licensed spectrum is fully utilized is also incorrect , as 
demonstrated by significant gaps in coverage across the country.  A bipartisan coalition of 
senators led by Senator Roger Wicker  underscored, “ For too long, millions of rural Americans 
have been living without consistent and reliable mobile broadband service. ”16  Representative 
Peter Welch specifically characterized T -Mobile and Sprint’s coverage claims in Vermont as 
“bogus.”17  He stated, “in a lot of Vermont we have no G” and pointed to a study by the Vermont 
Department of Public Service that found that 62 percent of the areas studied showed no T-Mobile service and 50 percent showed no AT&T service.
18  The licensed -exclusive spectrum 
use framework allows this under -utilization and, unlike the unlicensed or licensed- shared 
frameworks, entrenches the problem because it blocks other companies from filling the gaps left from underinvestment.  In either an unlicensed or shared- licensed band another company could 
easily step in and serve these communities , but exclusive licensing prevents this marketplace 
reaction.  
B. Unlicensed and Licensed -Shared Bands H ave Strong  Efficiency I ncentives.  
The conclusion that unlicensed and licensed -shared bands lack incentives for efficient use 
is also demonstrably wrong.
19  First , as noted in NCTA’s original comments, unlicensed 
operations promote efficiencies that result in full utilization of available spectrum.  T he 
 
16  See Letter from Sen. Roger Wicker et al. , to Ajit Pai, Chairman , FCC  at 1 (filed Mar. 8, 
2018) , https://www.wicker.senate.gov/services/files/F03EBD53- A4FE -4B5D -B21E -
594A3180D0F5.  
17  Protecting Consumer and Competition: An Examination of the T -Mobile and Sprint Merger: 
Hearing Before the Subcomm. on Commc‘ns and Tech. of the Comm. on Energy and Com. 
H.R., 116th Cong. 147 (2019). 
18  Id.; see id. at 169–178 ( material submitted by Rep. Peter Welch, Member, Subcomm. on 
Commc‘ns and Tech. of the Comm. on Energy and Com.).  
19  Comments of CTIA at 3.",6,NCTA NSF NOI - Reply Comments.pdf,NCTA – THE INTERNET & TELEVISION ASSOCIATION,Advancing Understanding of Non-Federal Spectrum Usage
"6 extraordinary nationwide proliferation of Wi-Fi alone  shows that the unlicensed spectrum -use 
framework produces intense investment and deployment.20  Wi-Fi systems are also highly 
efficient  spectrum  users, supporting billions of devices and far more traffic than exclusively 
licensed networks.  In particular, Wi -Fi’s use of lower power levels and contention- based 
protocols results in high throughputs and low latency even in densely populated environments .21  
Importantly, unlike exclusively licensed bands, unlicensed bands  also have very low  barrier s to 
entry .  Any user can access an unlicensed band using Wi -Fi, Bluetooth, or one of many other 
technologies, without needing an FCC license or the permission of any other user of the band.  
Consequently, if unlicensed frequencies are underutilized in any particular location, a new user can use these frequencies easily .  The Commission’s unlicensed framework means that there is 
no advantage to spectrum warehousing, and the market can quickly and efficiently react to any 
failure to build  out in a location.  In addition, the  low power levels used by Wi -Fi and other 
unlicensed technologies make it far easier for unlicensed operations to coexist with incumbent users in a band without causing harmful interference, resulting in many instances where frequencies or location s unusable by high- power , exclusively licensed technologies are 
efficiently and robustly utilized by unlicensed devices . 
Second, the licensed -shared spectrum use framework also supports high utilization and 
efficiency.  As Lockheed Martin explained, “ [s]pectrum sharing and co -existence among users 
has naturally evolved in such a competitive spectral environment, and, as a result, these bands 
are highly utilized in terms of time, spectrum, and geographic utilization.”
22  Shared use bands , 
 
20  Comments of NCTA  at 6. 
21  Id. 
22  Comments of Lockheed Martin Corp. at 8 , WT Docket No. 23- 232 (filed Oct. 3, 2023) .",7,NCTA NSF NOI - Reply Comments.pdf,NCTA – THE INTERNET & TELEVISION ASSOCIATION,Advancing Understanding of Non-Federal Spectrum Usage
"7 like the  Citizens Band Radio Service (“CBRS”) band, provide flexible access to a wide range of 
users with far lower barriers to entry  than in exclusively licensed bands .  This enables  diverse  
spectrum access in a market that the Commission  has determined is highly concentrated because 
of the dominant spectrum holdings of the three largest mobile wireless companies.  Furthermore , 
NTIA’s CBRS report demonstrates that the band is being heavily utilized by this larger group of 
users .23  As of the beginning of this year, NTIA found that  there were over 285,000 active CBRS 
Devices (“CBSDs”).24  Of those CBSDs, 128,351 were located in Dynamic Protection Area 
(“DPA”) counties with a total population of 232,348,897 residents.25  DPAs are areas in which 
federal incumbent operators may be operating systems that require protection.26  In the absence 
of the dynamic CBRS sharing framework, which allows commercial operators to provide services when protected systems are not in use, the resi dents living in a DPA would not have  
access to the band.  This demonstrates how licensed- shared frameworks can produce significant 
new utility in spectrum that may have otherwise remained unused.  
In response , CTIA  points to a measurement study that it undertook, which suggest s that 
the CBRS band is underutilized.
27  However, the design of the CTIA study was faulty .  The 
 
23  Douglas Boulware, et al., An Analysis of Aggregate CBRS SAS Data from April 2021 to 
January 2023, N AT’L TELECOMM . AND INFO. ADMIN . (May 1, 2023), 
https://www.ntia.gov/report/2023/analysis -aggregate- cbrs-sas-data- april-2021- january -2023.  
24  Id. at 1 (reporting that the total of 128,351 devices in DPA -impacted counties represents 
45 percent of the total number of CBSDs as of Jan. 1, 2023). 
25  Id. at 50. 
26  See Letter from Paige R. Atkins, Assoc. Admin., Office of Spectrum Mgt., NTIA, to Julius P. Knapp, Chief, OET, FCC, and Donald K. Stockdale  Jr., Chief, WTB, FCC, (May 17, 2018) 
at 2 (“A DPA is a pre -defined local protection area which may be activated or deactivated as 
necessary to protect [Department of Defense] radar systems.”).  
27  Comments of CTIA at 6 n.20; see Doug Brake, CBRS Spectrum is Lightly Used, Whereas C -
Band is Deployed Extensively, CTIA B LOG (Sept. 25, 2023), https://www.ctia.org/news/cbrs -
spectrum -is-lightly -used-whereas -c-band- deployed- extensively ; CBRS  Spectrum Occupancy",8,NCTA NSF NOI - Reply Comments.pdf,NCTA – THE INTERNET & TELEVISION ASSOCIATION,Advancing Understanding of Non-Federal Spectrum Usage
"8 study used drive test s to record the number of channels with a CBRS base station transmission.28  
Drive test s are generally  used to measure the geographic coverage of a traditional macro cell 
network, but CBRS is inherently not a wide -area band with expansive geographic coverage—and 
this is a strong benefit of the band.  T he value of the CBRS band comes from low -power use to 
provide capacity where it is needed (e.g., small cells and private 5G networks).  CTIA’s limited  
drive test , therefore, did not accurately capture CBRS’s public utility and real -world utilization 
because CBRS provides targeted deployment rather than blanket coverage.  To understand 
CTIA’s error, consider applying CTIA’s methodology to the Fixed Service (“FS”) links used to connect cell towers.  CTIA’s methodology would suggest that these high- site, high- gain FS links 
are underutilizing their band because they are not used to cover large geographic areas, but to provide service only where they are needed.  This design flaw provides a useful example of how the Commission should not  undertake measurement .  It was a results -oriented advocacy exerci se 
rather than a well -designed study that accounted for the use characteristics of the band .  
Measurement campaigns should serve to inform the Commission’s policymaking and ensure that scarce spectrum resources are best serving the public—they should not be used as a self -serving 
tool to limit competition.  
 
 
Measurements , CTIA (Jan. 28, 2022), https://www.ctia.org/news/cbrs -spectrum -occupancy -
measurements  (“CTIA CBRS Study ”). 
28  CTIA CBRS Study  at 4.",9,NCTA NSF NOI - Reply Comments.pdf,NCTA – THE INTERNET & TELEVISION ASSOCIATION,Advancing Understanding of Non-Federal Spectrum Usage
